DatabaseName,HomeSite,VolumeLetter,EdbFilePath,LogFolderPath,Server,ActivationPreference,CopyRole
DBSE101,S1,H,H:\DBSE101\DBSE101.edb,H:\DBSE101,EXSVR-S1-1,1,Active
DBSE101,S1,H,H:\DBSE101\DBSE101.edb,H:\DBSE101,EXSVR-S1-2,2,Passive
DBSE101,S1,H,H:\DBSE101\DBSE101.edb,H:\DBSE101,EXSVR-S2-1,3,Passive
DBSE102,S1,H,H:\DBSE102\DBSE102.edb,H:\DBSE102,EXSVR-S1-2,1,Active
DBSE102,S1,H,H:\DBSE102\DBSE102.edb,H:\DBSE102,EXSVR-S1-3,2,Passive
DBSE102,S1,H,H:\DBSE102\DBSE102.edb,H:\DBSE102,EXSVR-S2-2,3,Passive
DBSE103,S1,H,H:\DBSE103\DBSE103.edb,H:\DBSE103,EXSVR-S1-3,1,Active
DBSE103,S1,H,H:\DBSE103\DBSE103.edb,H:\DBSE103,EXSVR-S1-4,2,Passive
DBSE103,S1,H,H:\DBSE103\DBSE103.edb,H:\DBSE103,EXSVR-S2-3,3,Passive
DBSE104,S1,H,H:\DBSE104\DBSE104.edb,H:\DBSE104,EXSVR-S1-4,1,Active
DBSE104,S1,H,H:\DBSE104\DBSE104.edb,H:\DBSE104,EXSVR-S1-1,2,Passive
DBSE104,S1,H,H:\DBSE104\DBSE104.edb,H:\DBSE104,EXSVR-S2-4,3,Passive
DBSE105,S1,H,H:\DBSE105\DBSE105.edb,H:\DBSE105,EXSVR-S1-1,1,Active
DBSE105,S1,H,H:\DBSE105\DBSE105.edb,H:\DBSE105,EXSVR-S1-3,2,Passive
DBSE105,S1,H,H:\DBSE105\DBSE105.edb,H:\DBSE105,EXSVR-S2-1,3,Passive
DBSE106,S1,H,H:\DBSE106\DBSE106.edb,H:\DBSE106,EXSVR-S1-2,1,Active
DBSE106,S1,H,H:\DBSE106\DBSE106.edb,H:\DBSE106,EXSVR-S1-4,2,Passive
DBSE106,S1,H,H:\DBSE106\DBSE106.edb,H:\DBSE106,EXSVR-S2-2,3,Passive
DBSE107,S1,H,H:\DBSE107\DBSE107.edb,H:\DBSE107,EXSVR-S1-3,1,Active
DBSE107,S1,H,H:\DBSE107\DBSE107.edb,H:\DBSE107,EXSVR-S1-1,2,Passive
DBSE107,S1,H,H:\DBSE107\DBSE107.edb,H:\DBSE107,EXSVR-S2-3,3,Passive
DBSE108,S1,H,H:\DBSE108\DBSE108.edb,H:\DBSE108,EXSVR-S1-4,1,Active
DBSE108,S1,H,H:\DBSE108\DBSE108.edb,H:\DBSE108,EXSVR-S1-2,2,Passive
DBSE108,S1,H,H:\DBSE108\DBSE108.edb,H:\DBSE108,EXSVR-S2-4,3,Passive
DBSE109,S1,I,I:\DBSE109\DBSE109.edb,I:\DBSE109,EXSVR-S1-1,1,Active
DBSE109,S1,I,I:\DBSE109\DBSE109.edb,I:\DBSE109,EXSVR-S1-3,2,Passive
DBSE109,S1,I,I:\DBSE109\DBSE109.edb,I:\DBSE109,EXSVR-S2-2,3,Passive
DBSE110,S1,I,I:\DBSE110\DBSE110.edb,I:\DBSE110,EXSVR-S1-2,1,Active
DBSE110,S1,I,I:\DBSE110\DBSE110.edb,I:\DBSE110,EXSVR-S1-4,2,Passive
DBSE110,S1,I,I:\DBSE110\DBSE110.edb,I:\DBSE110,EXSVR-S2-3,3,Passive
DBSE111,S1,I,I:\DBSE111\DBSE111.edb,I:\DBSE111,EXSVR-S1-3,1,Active
DBSE111,S1,I,I:\DBSE111\DBSE111.edb,I:\DBSE111,EXSVR-S1-1,2,Passive
DBSE111,S1,I,I:\DBSE111\DBSE111.edb,I:\DBSE111,EXSVR-S2-4,3,Passive
