DatabaseName,HomeSite,VolumeLetter,EdbFilePath,LogFolderPath,Server,ActivationPreference,CopyRole
DBSE101,BB,K,K:\DBSE101\DBSE101.edb,K:\DBSE101,PEXBBEXSE1,1,Active
DBSE101,BB,K,K:\DBSE101\DBSE101.edb,K:\DBSE101,PEXBBEXSE2,2,Passive
DBSE101,BB,K,K:\DBSE101\DBSE101.edb,K:\DBSE101,PEXTAEXSE1,3,Passive
DBSE102,BB,K,K:\DBSE102\DBSE102.edb,K:\DBSE102,PEXBBEXSE2,1,Active
DBSE102,BB,K,K:\DBSE102\DBSE102.edb,K:\DBSE102,PEXBBEXSE3,2,Passive
DBSE102,BB,K,K:\DBSE102\DBSE102.edb,K:\DBSE102,PEXTAEXSE2,3,Passive
DBSE103,BB,K,K:\DBSE103\DBSE103.edb,K:\DBSE103,PEXBBEXSE3,1,Active
DBSE103,BB,K,K:\DBSE103\DBSE103.edb,K:\DBSE103,PEXBBEXSE4,2,Passive
DBSE103,BB,K,K:\DBSE103\DBSE103.edb,K:\DBSE103,PEXTAEXSE3,3,Passive
DBSE104,BB,K,K:\DBSE104\DBSE104.edb,K:\DBSE104,PEXBBEXSE4,1,Active
DBSE104,BB,K,K:\DBSE104\DBSE104.edb,K:\DBSE104,PEXBBEXSE1,2,Passive
DBSE104,BB,K,K:\DBSE104\DBSE104.edb,K:\DBSE104,PEXTAEXSE4,3,Passive
DBSE105,BB,K,K:\DBSE105\DBSE105.edb,K:\DBSE105,PEXBBEXSE1,1,Active
DBSE105,BB,K,K:\DBSE105\DBSE105.edb,K:\DBSE105,PEXBBEXSE3,2,Passive
DBSE105,BB,K,K:\DBSE105\DBSE105.edb,K:\DBSE105,PEXTAEXSE1,3,Passive
DBSE106,BB,K,K:\DBSE106\DBSE106.edb,K:\DBSE106,PEXBBEXSE2,1,Active
DBSE106,BB,K,K:\DBSE106\DBSE106.edb,K:\DBSE106,PEXBBEXSE4,2,Passive
DBSE106,BB,K,K:\DBSE106\DBSE106.edb,K:\DBSE106,PEXTAEXSE2,3,Passive
DBSE107,BB,K,K:\DBSE107\DBSE107.edb,K:\DBSE107,PEXBBEXSE3,1,Active
DBSE107,BB,K,K:\DBSE107\DBSE107.edb,K:\DBSE107,PEXBBEXSE1,2,Passive
DBSE107,BB,K,K:\DBSE107\DBSE107.edb,K:\DBSE107,PEXTAEXSE3,3,Passive
DBSE108,BB,K,K:\DBSE108\DBSE108.edb,K:\DBSE108,PEXBBEXSE4,1,Active
DBSE108,BB,K,K:\DBSE108\DBSE108.edb,K:\DBSE108,PEXBBEXSE2,2,Passive
DBSE108,BB,K,K:\DBSE108\DBSE108.edb,K:\DBSE108,PEXTAEXSE4,3,Passive
DBSE109,BB,L,L:\DBSE109\DBSE109.edb,L:\DBSE109,PEXBBEXSE1,1,Active
DBSE109,BB,L,L:\DBSE109\DBSE109.edb,L:\DBSE109,PEXBBEXSE3,2,Passive
DBSE109,BB,L,L:\DBSE109\DBSE109.edb,L:\DBSE109,PEXTAEXSE2,3,Passive
DBSE110,BB,L,L:\DBSE110\DBSE110.edb,L:\DBSE110,PEXBBEXSE2,1,Active
DBSE110,BB,L,L:\DBSE110\DBSE110.edb,L:\DBSE110,PEXBBEXSE4,2,Passive
DBSE110,BB,L,L:\DBSE110\DBSE110.edb,L:\DBSE110,PEXTAEXSE3,3,Passive
DBSE111,BB,L,L:\DBSE111\DBSE111.edb,L:\DBSE111,PEXBBEXSE3,1,Active
DBSE111,BB,L,L:\DBSE111\DBSE111.edb,L:\DBSE111,PEXBBEXSE1,2,Passive
DBSE111,BB,L,L:\DBSE111\DBSE111.edb,L:\DBSE111,PEXTAEXSE4,3,Passive
DBSE112,BB,L,L:\DBSE112\DBSE112.edb,L:\DBSE112,PEXBBEXSE4,1,Active
DBSE112,BB,L,L:\DBSE112\DBSE112.edb,L:\DBSE112,PEXBBEXSE2,2,Passive
DBSE112,BB,L,L:\DBSE112\DBSE112.edb,L:\DBSE112,PEXTAEXSE1,3,Passive
DBSE113,BB,L,L:\DBSE113\DBSE113.edb,L:\DBSE113,PEXBBEXSE1,1,Active
DBSE113,BB,L,L:\DBSE113\DBSE113.edb,L:\DBSE113,PEXBBEXSE4,2,Passive
DBSE113,BB,L,L:\DBSE113\DBSE113.edb,L:\DBSE113,PEXTAEXSE2,3,Passive
DBSE114,BB,L,L:\DBSE114\DBSE114.edb,L:\DBSE114,PEXBBEXSE2,1,Active
DBSE114,BB,L,L:\DBSE114\DBSE114.edb,L:\DBSE114,PEXBBEXSE1,2,Passive
